player,team,nation,pos,age,90s Playing Time,npxG Per 90 Minutes,G-PK Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,Sh/90 Standard,G/Sh Standard,PrgP,KP,PPA,CrsPA,PrgC Carries,CPA Carries,Succ Take-Ons,PrgR Receiving,TklW Tackles,Int,Won Aerial Duels,Fls Performance,Fld Performance,Att 3rd Touches,Mid 3rd Touches,Def 3rd Touches,cluster
Enzo Le Fée,Rennes,FRA,MF,23.0,17.0,0.03,0.0,0.11,0.14,0.71,0.0,124,28,26,2,45,7,29,58,35,19,11,24,18,344,691,227,5
Enzo Loiodice,Las Palmas,FRA,MF,22.0,19.9,0.030000000000000002,0.0,0.07,0.09,0.8,0.0,97,19,7,0,27,4,28,72,35,12,27,32,38,337,799,238,5
Enzo Millot,Stuttgart,FRA,"MF,FW",21.0,24.9,0.18,0.16,0.16,0.37,1.5300000000000002,0.11,127,33,31,4,46,14,46,167,22,16,7,36,35,569,1008,180,5
Enzo Mongo,Nantes,FRA,DF,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0
Enzo Tchato,Montpellier,CMR,DF,20.0,12.5,0.03,0.0,0.03,0.05,0.4,0.0,46,7,15,11,26,3,4,57,17,11,10,15,5,196,332,222,3
Eray Cömert,Nantes,SUI,DF,25.0,22.2,0.03,0.09,0.01,0.04,0.4099999999999999,0.21999999999999997,57,4,4,2,7,0,1,3,28,36,14,26,26,32,581,680,4
Eren Dinkçi,Heidenheim,GER,"FW,MF",21.0,29.4,0.15,0.34,0.13,0.27,1.66,0.2,89,36,33,15,85,22,41,143,18,12,11,28,22,468,576,182,5
Erhan Mašović,Bochum,SRB,"DF,MF",24.0,24.7,0.04,0.0,0.01,0.06,0.69,0.0,47,4,5,0,15,0,3,10,40,25,35,22,15,104,495,421,4
Eric Bailly,Villarreal,CIV,DF,29.0,9.3,0.02,0.0,0.0,0.02,0.21,0.0,18,0,1,0,3,0,7,1,3,9,15,6,5,9,175,282,0
Eric Curbelo,Las Palmas,ESP,"DF,MF",29.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,3,2,0,0,0,1,24,51,0
Eric Dier,Tottenham,ENG,DF,29.0,15.2,0.04276315789473684,0.0,0.008552631578947369,0.05131578947368422,0.5901315789473683,0.0,56,2,1,1,8,0,1,1,9,12,37,12,10,49,726,644,4
Eric García,Barcelona,ESP,DF,22.0,29.900000000000002,0.09939799331103678,0.16658862876254182,0.01959866220735786,0.11899665551839464,0.5706688963210703,0.30377926421404683,226,10,17,2,45,1,4,18,37,30,50,25,26,229,1411,990,4
Eric Martel,Köln,GER,MF,21.0,27.3,0.08,0.04,0.04,0.12,0.99,0.04,75,12,6,3,21,2,7,35,43,43,70,52,41,220,817,491,4
Eric Maxim Choupo-Moting,Bayern Munich,CMR,"MF,FW",34.0,8.0,0.57,0.25,0.23,0.8,3.26,0.08,21,16,8,2,23,13,23,71,12,7,15,10,7,201,152,55,8
Erik Botheim,Salernitana,NOR,"FW,MF",23.0,3.5,0.03,0.0,0.0,0.03,0.28,0.0,5,0,1,0,3,2,1,9,0,0,2,2,11,27,49,11,0
Erling Haaland,Manchester City,NOR,FW,23.0,28.4,0.81,0.71,0.15,1.1799999999999997,3.99,0.18,26,29,11,0,35,22,12,126,3,2,39,18,31,398,206,36,8
Ermedin Demirović,Augsburg,BIH,"FW,MF",25.0,31.9,0.32,0.38,0.12,0.54,2.41,0.16,60,33,17,1,28,11,29,167,14,11,51,60,35,468,388,92,5
Ernest Nuamah,Lyon,GHA,"FW,MF",19.0,20.4,0.2,0.15,0.19,0.38,2.11,0.07,74,29,31,5,105,38,51,237,14,8,10,50,34,561,324,128,5
Ethan Mbappé,Paris S-G,FRA,"MF,DF",16.0,0.5,0.27,0.0,0.0,0.27,3.75,0.0,1,0,1,0,1,1,0,4,0,0,0,1,1,17,24,8,9
Ethan Nwaneri,Arsenal,ENG,FW,16.0,0.2,0.0,0.0,0.15,0.15,0.0,0.0,2,1,2,0,2,0,0,1,0,0,1,1,1,11,9,0,0
Ethan Pinnock,Brentford,JAM,DF,30.0,28.0,0.07,0.07,0.04,0.11,0.68,0.11,61,4,5,0,11,1,6,16,23,43,113,4,11,113,661,1001,4
Ethan Wheatley,Manchester Utd,ENG,FW,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,2,0,3,0,3,3,0,0
Etienne Youte Kinkoue,Le Havre,FRA,DF,21.0,21.6,0.02,0.0,0.0,0.02,0.28,0.0,31,3,0,0,12,0,1,3,9,44,30,11,5,31,491,658,4
Etrit Berisha,Empoli,ALB,GK,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,530,16
Evan Ferguson,Brighton,IRL,FW,18.0,15.2,0.3,0.4,0.04,0.34,2.17,0.18,15,6,4,0,13,5,7,62,6,2,13,24,25,185,204,64,8
Evann Guessand,Nice,CIV,FW,22.0,17.3,0.39,0.23,0.08,0.56,2.67,0.09,34,15,12,0,40,14,24,114,7,12,24,32,47,285,233,59,5
Exequiel Palacios,Leverkusen,ARG,MF,24.0,20.3,0.09,0.1,0.19,0.35,0.93,0.11,162,27,31,2,24,2,23,45,34,29,8,16,55,439,1461,341,5
Ezequiel Ávila,Betis,ARG,FW,29.0,12.899999999999999,0.21255813953488376,0.1511627906976744,0.18372093023255814,0.3962790697674419,2.7869767441860467,0.05790697674418605,45,23,20,7,21,6,7,106,3,5,14,11,32,322,230,50,5
Ezri Konsa,Aston Villa,ENG,DF,25.0,34.1,0.07,0.029999999999999995,0.02,0.09,0.56,0.05,136,8,14,2,37,3,19,33,32,28,30,14,64,258,1146,971,5
Fabian Bredlow,Stuttgart,GER,GK,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190,0
Fabian Holland,Darmstadt 98,GER,"MF,DF",33.0,20.4,0.030000000000000002,0.0,0.07,0.1,0.54,0.0,87,17,9,2,11,1,8,47,26,24,9,34,33,209,619,291,5
Fabian Nürnberger,Darmstadt 98,BUL,"DF,MF",24.0,16.8,0.05,0.06,0.12,0.18,1.13,0.05,70,30,26,12,35,7,18,91,22,17,13,18,16,332,479,237,5
Fabian Rieder,Rennes,SUI,MF,21.0,4.1,0.07,0.25,0.14,0.21,1.23,0.2,41,4,6,1,10,1,2,18,7,5,6,10,6,76,159,25,8
Fabian Rüdlin,Freiburg,GER,MF,26.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
Fabian Schnellhardt,Darmstadt 98,GER,MF,29.0,2.6,0.08,0.0,0.02,0.11000000000000001,1.91,0.0,15,2,1,0,6,0,1,9,1,4,1,2,3,47,110,41,9
